Station Index,IR829IP,Subnet Mask,IR829IPGW
210,10.140.217.18,255.255.255.240,10.140.217.17
211,10.140.209.18,255.255.255.240,10.140.209.17
212,10.140.201.18,255.255.255.240,10.140.201.17
213,10.140.193.18,255.255.255.240,10.140.193.17
214,10.140.185.18,255.255.255.240,10.140.185.17
215,10.140.177.18,255.255.255.240,10.140.177.17
216,10.140.169.18,255.255.255.240,10.140.169.17
217,10.140.161.18,255.255.255.240,10.140.161.17
218,10.140.153.18,255.255.255.240,10.140.153.17
219,10.136.17.18,255.255.255.240,10.136.17.17
220,10.136.17.18,255.255.255.240,10.136.17.17
360,10.206.145.18,255.255.255.240,10.206.145.17
361,10.206.137.18,255.255.255.240,10.206.137.17
362,10.206.129.18,255.255.255.240,10.206.129.17
363,10.206.121.18,255.255.255.240,10.206.121.17
364,10.206.113.18,255.255.255.240,10.206.113.17
365,10.206.105.18,255.255.255.240,10.206.105.17
366,10.206.97.18,255.255.255.240,10.206.97.17
367,10.206.89.18,255.255.255.240,10.206.89.17
368,10.206.81.18,255.255.255.240,10.206.81.17
369,10.206.73.18,255.255.255.240,10.206.73.17
370,10.206.65.18,255.255.255.240,10.206.65.17
371,10.206.153.18,255.255.255.240,10.206.153.17
372,10.206.57.18,255.255.255.240,10.206.57.17
373,10.206.49.18,255.255.255.240,10.206.49.17
374,10.206.41.18,255.255.255.240,10.206.41.17
375,10.206.33.18,255.255.255.240,10.206.33.17
376,10.206.25.18,255.255.255.240,10.206.25.17
377,10.206.17.18,255.255.255.240,10.206.17.17
416,10.140.113.18,255.255.255.240,10.140.113.17
417,10.141.49.18,255.255.255.240,10.141.49.17
418,10.141.41.18,255.255.255.240,10.141.41.17
419,10.141.33.18,255.255.255.240,10.141.33.17
420,10.141.25.18,255.255.255.240,10.141.25.17
421,10.140.105.18,255.255.255.240,10.140.105.17
422,10.140.17.18,255.255.255.240,10.140.17.17
423,10.140.241.18,255.255.255.240,10.140.241.17
424,10.140.233.18,255.255.255.240,10.140.233.17
425,10.140.225.18,255.255.255.240,10.140.225.17
427,10.140.33.18,255.255.255.240,10.140.33.17
428,10.140.41.18,255.255.255.240,10.140.41.17
429,10.140.49.18,255.255.255.240,10.140.49.17
430,10.140.57.18,255.255.255.240,10.140.57.17
431,10.140.65.18,255.255.255.240,10.140.65.17
432,10.140.73.18,255.255.255.240,10.140.73.17
433,10.140.81.18,255.255.255.240,10.140.81.17
434,10.140.89.18,255.255.255.240,10.140.89.17
442,10.140.121.66,255.255.255.240,10.140.121.65
443,10.141.65.50,255.255.255.240,10.141.65.49
444,10.140.129.66,255.255.255.240,10.140.129.65
445,10.141.57.66,255.255.255.240,10.141.57.65
446,10.140.137.66,255.255.255.240,10.140.137.65
