Station Index,IR829IP,Subnet Mask,IR829IPGW
360,10.206.145.18,255.255.255.240,10.206.145.17
416,10.140.113.18,255.255.255.240,10.140.113.17
442,10.140.121.66,255.255.255.240,10.140.121.65
361,10.206.137.18,255.255.255.240,10.206.137.17
417,10.141.49.18,255.255.255.240,10.141.49.17
443,10.141.65.50,255.255.255.240,10.141.65.49
362,10.206.129.18,255.255.255.240,10.206.129.17
418,10.141.41.18,255.255.255.240,10.141.41.17
444,10.140.129.66,255.255.255.240,10.140.129.65
363,10.206.121.18,255.255.255.240,10.206.121.17
